optimal_tour,optimal_tour_length,gcn_tour,gcn_tour_length,score,time
"{1, 15, 16, 19, 17, 14, 6, 20, 2, 12, 7, 8, 13, 18, 4, 9, 11, 5, 3, 10, 1}",3.907382,"{1, 10, 3, 5, 11, 9, 4, 18, 13, 8, 7, 12, 2, 20, 6, 14, 17, 19, 16, 15, 1}",3.907382,0.000000,0.044498
"{1, 18, 17, 9, 3, 2, 13, 7, 5, 8, 16, 14, 12, 19, 6, 11, 15, 4, 20, 10, 1}",4.153890,"{1, 10, 20, 18, 17, 9, 3, 2, 13, 7, 5, 8, 16, 12, 14, 19, 6, 11, 4, 15, 1}",4.308383,0.037192,0.044813
"{1, 6, 10, 8, 16, 7, 19, 9, 2, 11, 4, 20, 14, 18, 15, 3, 17, 12, 5, 13, 1}",4.090325,"{1, 6, 10, 8, 16, 13, 5, 12, 17, 3, 15, 20, 18, 14, 4, 11, 2, 9, 19, 7, 1}",4.523028,0.105787,0.045434
"{1, 6, 3, 17, 2, 4, 8, 14, 7, 11, 18, 12, 5, 16, 15, 20, 9, 10, 19, 13, 1}",3.393170,"{1, 13, 19, 10, 9, 20, 15, 16, 5, 12, 18, 11, 7, 14, 8, 4, 2, 17, 3, 6, 1}",3.393170,0.000000,0.047602
"{1, 10, 6, 2, 14, 3, 11, 9, 8, 13, 17, 7, 5, 4, 12, 20, 15, 18, 19, 16, 1}",3.225925,"{1, 10, 6, 2, 14, 3, 11, 9, 8, 13, 17, 7, 5, 4, 12, 20, 15, 18, 19, 16, 1}",3.225925,0.000000,0.047993
"{1, 16, 20, 8, 14, 17, 19, 18, 12, 3, 4, 15, 9, 2, 10, 7, 11, 6, 13, 5, 1}",3.698268,"{1, 5, 16, 20, 8, 14, 17, 19, 18, 12, 3, 4, 15, 2, 9, 10, 11, 7, 6, 13, 1}",3.908485,0.056842,0.046271
"{1, 17, 4, 9, 15, 14, 3, 11, 16, 10, 13, 6, 2, 18, 19, 7, 8, 5, 20, 12, 1}",3.838624,"{1, 17, 12, 20, 5, 8, 7, 19, 18, 2, 6, 13, 10, 16, 11, 3, 14, 15, 4, 9, 1}",4.002966,0.042813,0.047288
"{1, 2, 20, 5, 16, 19, 17, 4, 18, 7, 10, 8, 11, 14, 3, 15, 6, 13, 12, 9, 1}",3.764914,"{1, 9, 12, 13, 6, 15, 3, 14, 8, 11, 7, 10, 18, 4, 17, 19, 16, 5, 20, 2, 1}",3.823987,0.015690,0.046034
"{1, 19, 4, 20, 2, 14, 17, 18, 3, 10, 13, 7, 11, 6, 16, 8, 15, 9, 12, 5, 1}",3.274228,"{1, 5, 19, 12, 9, 15, 8, 16, 6, 11, 7, 13, 10, 3, 18, 17, 14, 2, 20, 4, 1}",3.326482,0.015959,0.045938
"{1, 4, 3, 19, 12, 20, 6, 9, 13, 17, 16, 2, 14, 5, 11, 8, 15, 10, 7, 18, 1}",4.149623,"{1, 4, 18, 7, 10, 15, 8, 11, 5, 14, 2, 16, 17, 13, 9, 6, 20, 12, 19, 3, 1}",4.216006,0.015997,0.045055
"{1, 14, 20, 5, 12, 19, 9, 16, 4, 13, 6, 8, 11, 3, 2, 15, 18, 7, 17, 10, 1}",4.235091,"{1, 10, 17, 7, 2, 3, 11, 8, 6, 13, 4, 16, 12, 5, 20, 14, 18, 15, 9, 19, 1}",4.647388,0.097353,0.044928
"{1, 19, 4, 11, 12, 15, 18, 14, 8, 9, 3, 6, 20, 13, 2, 10, 7, 5, 17, 16, 1}",3.689003,"{1, 16, 17, 19, 4, 5, 7, 10, 20, 13, 2, 11, 12, 15, 18, 14, 8, 9, 3, 6, 1}",3.820657,0.035688,0.045274
"{1, 18, 13, 14, 7, 2, 6, 20, 3, 9, 11, 19, 17, 4, 8, 16, 12, 5, 15, 10, 1}",3.979199,"{1, 18, 13, 10, 15, 5, 12, 16, 8, 4, 17, 19, 11, 9, 3, 20, 6, 2, 7, 14, 1}",3.990252,0.002778,0.046401
"{1, 8, 3, 20, 17, 5, 9, 10, 12, 18, 14, 4, 16, 7, 11, 6, 2, 15, 19, 13, 1}",4.102411,"{1, 13, 19, 15, 2, 6, 11, 7, 4, 14, 18, 12, 16, 10, 9, 5, 17, 20, 3, 8, 1}",4.208453,0.025849,0.046994
"{1, 12, 3, 6, 16, 14, 13, 15, 2, 10, 11, 20, 18, 8, 17, 4, 19, 5, 7, 9, 1}",4.348200,"{1, 9, 12, 7, 5, 19, 4, 17, 8, 18, 20, 11, 10, 2, 15, 13, 14, 16, 6, 3, 1}",4.368877,0.004755,0.047396
"{1, 5, 20, 9, 14, 15, 18, 8, 4, 16, 13, 17, 3, 2, 6, 10, 12, 19, 11, 7, 1}",3.829362,"{1, 5, 20, 9, 14, 15, 18, 8, 4, 2, 3, 16, 13, 17, 12, 19, 11, 7, 10, 6, 1}",4.318132,0.127638,0.048079
"{1, 3, 15, 18, 9, 7, 20, 8, 2, 13, 11, 16, 6, 5, 19, 4, 12, 10, 14, 17, 1}",3.983189,"{1, 17, 14, 10, 12, 4, 6, 5, 19, 11, 16, 13, 2, 8, 20, 7, 9, 18, 15, 3, 1}",4.000388,0.004318,0.047692
"{1, 5, 13, 2, 8, 4, 17, 16, 20, 12, 14, 10, 19, 6, 9, 15, 3, 18, 7, 11, 1}",3.692503,"{1, 5, 13, 2, 8, 4, 17, 16, 20, 12, 14, 10, 19, 6, 9, 15, 3, 18, 7, 11, 1}",3.692503,0.000000,0.047123
"{1, 4, 2, 15, 9, 17, 18, 7, 19, 3, 11, 16, 6, 10, 8, 13, 14, 20, 12, 5, 1}",3.996567,"{1, 4, 2, 5, 12, 20, 14, 13, 8, 10, 6, 16, 11, 3, 19, 7, 18, 17, 9, 15, 1}",4.067949,0.017861,0.046641
"{1, 7, 4, 10, 11, 12, 17, 13, 14, 15, 19, 6, 5, 20, 18, 16, 8, 3, 2, 9, 1}",4.092624,"{1, 9, 2, 3, 8, 20, 18, 16, 7, 4, 10, 11, 12, 17, 14, 13, 15, 19, 6, 5, 1}",4.347143,0.062190,0.047149
"{1, 12, 16, 20, 14, 3, 13, 15, 18, 11, 17, 5, 9, 6, 19, 2, 8, 10, 4, 7, 1}",3.577187,"{1, 12, 7, 4, 10, 8, 2, 19, 6, 9, 5, 17, 11, 18, 15, 13, 3, 14, 20, 16, 1}",3.577246,0.000017,0.047027
"{1, 16, 15, 19, 18, 11, 4, 20, 3, 6, 5, 14, 13, 9, 8, 12, 17, 10, 7, 2, 1}",3.531346,"{1, 15, 19, 16, 2, 7, 10, 17, 12, 8, 9, 13, 14, 5, 6, 3, 20, 4, 11, 18, 1}",3.620603,0.025276,0.046510
"{1, 11, 10, 7, 14, 20, 18, 8, 6, 9, 13, 5, 4, 17, 12, 19, 16, 3, 15, 2, 1}",3.745424,"{1, 2, 11, 10, 7, 14, 20, 18, 8, 6, 9, 13, 5, 4, 17, 12, 19, 16, 3, 15, 1}",3.808346,0.016800,0.047787
"{1, 9, 4, 15, 5, 18, 17, 13, 19, 3, 12, 8, 2, 6, 20, 7, 14, 16, 10, 11, 1}",4.386864,"{1, 11, 10, 16, 14, 7, 20, 6, 2, 12, 3, 19, 13, 17, 18, 5, 15, 9, 4, 8, 1}",4.713204,0.074390,0.047782
"{1, 5, 4, 9, 3, 13, 8, 2, 7, 12, 14, 19, 15, 18, 17, 16, 11, 6, 10, 20, 1}",3.889348,"{1, 5, 4, 9, 3, 13, 8, 2, 7, 12, 14, 19, 15, 18, 17, 16, 11, 6, 10, 20, 1}",3.889348,0.000000,0.047326
"{1, 13, 6, 2, 20, 7, 9, 14, 15, 19, 10, 5, 16, 3, 18, 11, 17, 8, 4, 12, 1}",3.544755,"{1, 12, 8, 17, 11, 18, 3, 16, 5, 10, 19, 15, 14, 9, 7, 20, 2, 6, 13, 4, 1}",3.646033,0.028571,0.047295
"{1, 17, 18, 7, 15, 9, 12, 19, 5, 13, 10, 14, 6, 2, 11, 16, 4, 8, 20, 3, 1}",3.505123,"{1, 17, 18, 7, 15, 9, 5, 13, 2, 11, 6, 14, 10, 19, 12, 16, 4, 8, 20, 3, 1}",3.563937,0.016779,0.047789
"{1, 19, 10, 3, 17, 8, 4, 5, 13, 7, 14, 11, 18, 12, 2, 6, 20, 9, 15, 16, 1}",3.685713,"{1, 19, 10, 3, 17, 8, 4, 5, 13, 7, 14, 11, 18, 12, 2, 6, 20, 9, 15, 16, 1}",3.685713,0.000000,0.047015
"{1, 5, 7, 2, 3, 18, 12, 15, 17, 6, 16, 4, 20, 11, 19, 8, 14, 9, 10, 13, 1}",4.126214,"{1, 13, 10, 9, 14, 8, 19, 11, 20, 4, 16, 6, 17, 15, 12, 18, 3, 2, 7, 5, 1}",4.126214,0.000000,0.045859
"{1, 15, 12, 13, 11, 17, 20, 5, 14, 2, 3, 16, 19, 6, 7, 8, 18, 9, 4, 10, 1}",3.725719,"{1, 15, 12, 13, 11, 20, 17, 3, 16, 19, 6, 7, 8, 18, 4, 10, 9, 2, 14, 5, 1}",3.845027,0.032023,0.045942
"{1, 12, 4, 8, 11, 5, 10, 7, 16, 14, 13, 6, 19, 15, 18, 3, 17, 2, 20, 9, 1}",4.087249,"{1, 9, 20, 2, 17, 3, 18, 15, 19, 6, 13, 14, 16, 7, 10, 5, 11, 8, 12, 4, 1}",4.163309,0.018609,0.046580
"{1, 4, 12, 7, 6, 5, 9, 19, 10, 2, 16, 8, 3, 17, 20, 13, 18, 15, 14, 11, 1}",3.793783,"{1, 4, 12, 7, 6, 5, 9, 19, 10, 2, 16, 8, 3, 17, 20, 13, 18, 15, 14, 11, 1}",3.793783,0.000000,0.046871
"{1, 8, 11, 2, 4, 9, 17, 6, 20, 15, 13, 19, 16, 18, 3, 12, 14, 7, 10, 5, 1}",4.303673,"{1, 8, 11, 7, 10, 5, 14, 12, 3, 18, 16, 19, 13, 15, 20, 6, 9, 17, 2, 4, 1}",4.425442,0.028294,0.045983
"{1, 18, 9, 7, 2, 16, 5, 15, 19, 8, 12, 14, 3, 13, 17, 4, 10, 6, 11, 20, 1}",3.919949,"{1, 18, 9, 7, 2, 16, 5, 15, 19, 8, 12, 14, 3, 6, 11, 20, 10, 4, 17, 13, 1}",4.011093,0.023251,0.045759
"{1, 4, 8, 12, 19, 14, 16, 10, 5, 17, 9, 3, 11, 20, 2, 7, 13, 18, 6, 15, 1}",3.461154,"{1, 4, 8, 12, 19, 6, 15, 18, 13, 7, 2, 20, 11, 3, 9, 17, 5, 10, 16, 14, 1}",3.508471,0.013671,0.046576
"{1, 14, 4, 5, 8, 13, 3, 11, 6, 2, 19, 17, 12, 16, 7, 9, 20, 15, 18, 10, 1}",3.957528,"{1, 4, 14, 5, 8, 13, 3, 11, 6, 2, 19, 17, 12, 16, 7, 9, 20, 15, 18, 10, 1}",3.967993,0.002644,0.044760
"{1, 18, 16, 9, 13, 4, 6, 11, 14, 17, 8, 15, 20, 3, 7, 12, 2, 10, 5, 19, 1}",3.733296,"{1, 18, 16, 9, 13, 4, 11, 6, 17, 8, 15, 20, 3, 14, 7, 12, 19, 5, 10, 2, 1}",3.865808,0.035494,0.044606
"{1, 15, 19, 13, 16, 18, 2, 11, 6, 10, 14, 4, 8, 7, 5, 20, 12, 3, 9, 17, 1}",4.263708,"{1, 17, 9, 3, 12, 20, 5, 7, 8, 4, 14, 10, 6, 11, 2, 18, 16, 13, 19, 15, 1}",4.263708,0.000000,0.044760
"{1, 11, 20, 7, 10, 3, 19, 5, 12, 4, 15, 16, 8, 9, 13, 18, 14, 2, 6, 17, 1}",3.398111,"{1, 17, 2, 6, 14, 18, 13, 9, 8, 16, 12, 15, 4, 5, 19, 3, 10, 7, 20, 11, 1}",3.414655,0.004868,0.044318
"{1, 10, 5, 3, 19, 17, 16, 8, 6, 18, 12, 20, 13, 14, 7, 11, 9, 4, 15, 2, 1}",3.538769,"{1, 2, 15, 4, 9, 11, 7, 14, 13, 20, 12, 18, 6, 8, 16, 17, 19, 10, 5, 3, 1}",3.555974,0.004862,0.044580
"{1, 3, 19, 20, 14, 2, 8, 4, 15, 7, 16, 9, 11, 6, 5, 18, 10, 17, 13, 12, 1}",4.023263,"{1, 19, 20, 8, 2, 14, 12, 13, 17, 10, 5, 18, 6, 11, 9, 16, 7, 15, 4, 3, 1}",4.063272,0.009944,0.044453
"{1, 19, 3, 11, 9, 15, 2, 18, 14, 8, 17, 5, 7, 12, 16, 10, 4, 13, 6, 20, 1}",3.550287,"{1, 20, 6, 13, 4, 10, 16, 12, 7, 17, 5, 14, 8, 18, 2, 15, 9, 11, 3, 19, 1}",3.596374,0.012981,0.044491
"{1, 4, 6, 8, 19, 5, 17, 20, 3, 11, 14, 9, 16, 13, 7, 10, 12, 15, 2, 18, 1}",3.774441,"{1, 2, 18, 12, 13, 10, 7, 16, 9, 14, 11, 3, 20, 17, 5, 19, 8, 6, 4, 15, 1}",3.825161,0.013438,0.044630
"{1, 15, 17, 13, 10, 9, 11, 7, 19, 3, 12, 18, 14, 5, 4, 2, 20, 16, 8, 6, 1}",3.914364,"{1, 15, 6, 8, 16, 20, 4, 2, 17, 13, 10, 9, 11, 7, 19, 3, 12, 18, 14, 5, 1}",4.329650,0.106093,0.044609
"{1, 17, 15, 3, 9, 14, 6, 2, 5, 4, 8, 11, 20, 12, 10, 13, 18, 7, 16, 19, 1}",3.920232,"{1, 17, 3, 15, 19, 16, 7, 18, 13, 10, 12, 20, 11, 8, 4, 5, 2, 14, 6, 9, 1}",4.155527,0.060021,0.044305
"{1, 5, 7, 4, 15, 12, 6, 2, 18, 3, 19, 13, 11, 8, 20, 9, 10, 16, 14, 17, 1}",3.672837,"{1, 17, 14, 16, 10, 9, 20, 8, 11, 13, 19, 3, 18, 2, 6, 12, 15, 4, 7, 5, 1}",3.672837,0.000000,0.044391
"{1, 3, 4, 17, 19, 14, 9, 5, 2, 7, 15, 13, 20, 10, 11, 8, 16, 6, 12, 18, 1}",3.611310,"{1, 3, 4, 17, 14, 19, 9, 2, 5, 7, 15, 13, 20, 10, 11, 8, 16, 6, 18, 12, 1}",3.704938,0.025926,0.044934
"{1, 3, 17, 13, 9, 18, 4, 2, 16, 10, 7, 8, 19, 6, 20, 12, 15, 11, 14, 5, 1}",3.916350,"{1, 3, 17, 13, 9, 18, 4, 2, 7, 16, 10, 19, 8, 6, 20, 12, 15, 11, 14, 5, 1}",3.986122,0.017815,0.044244
"{1, 13, 12, 4, 18, 17, 19, 10, 8, 2, 3, 9, 15, 5, 7, 14, 6, 11, 16, 20, 1}",3.121446,"{1, 20, 16, 12, 13, 4, 18, 17, 19, 10, 8, 2, 3, 9, 15, 5, 7, 14, 6, 11, 1}",3.292197,0.054702,0.044871
"{1, 8, 10, 13, 5, 17, 2, 18, 4, 19, 20, 6, 9, 15, 3, 11, 12, 14, 7, 16, 1}",4.164248,"{1, 8, 4, 18, 2, 17, 5, 13, 10, 16, 7, 14, 12, 9, 6, 20, 19, 15, 3, 11, 1}",4.430456,0.063927,0.044509
"{1, 2, 14, 18, 11, 4, 5, 16, 8, 19, 7, 3, 17, 9, 6, 20, 15, 10, 12, 13, 1}",3.676476,"{1, 13, 12, 4, 5, 10, 15, 20, 6, 9, 17, 3, 16, 8, 19, 7, 18, 14, 11, 2, 1}",3.911011,0.063793,0.044647
"{1, 2, 19, 14, 5, 12, 3, 20, 4, 7, 16, 11, 8, 15, 9, 17, 13, 18, 6, 10, 1}",3.741091,"{1, 2, 19, 14, 5, 3, 12, 20, 4, 7, 16, 11, 8, 15, 9, 17, 13, 18, 6, 10, 1}",3.803943,0.016800,0.044703
"{1, 16, 5, 15, 14, 2, 7, 17, 8, 20, 3, 19, 6, 4, 18, 11, 9, 12, 13, 10, 1}",3.571886,"{1, 16, 5, 15, 14, 2, 7, 17, 20, 3, 19, 8, 6, 4, 18, 11, 9, 12, 13, 10, 1}",3.602350,0.008529,0.044596
"{1, 11, 14, 8, 6, 20, 5, 2, 7, 9, 19, 18, 3, 4, 12, 15, 10, 13, 16, 17, 1}",3.900612,"{1, 17, 16, 11, 14, 8, 6, 20, 5, 2, 7, 9, 19, 18, 3, 4, 12, 15, 10, 13, 1}",4.153595,0.064857,0.044106
"{1, 14, 8, 18, 19, 11, 12, 6, 17, 13, 16, 20, 10, 5, 2, 9, 4, 3, 15, 7, 1}",4.074201,"{1, 14, 8, 18, 19, 11, 12, 6, 2, 5, 9, 3, 4, 15, 7, 10, 20, 17, 13, 16, 1}",4.231499,0.038608,0.044192
"{1, 6, 17, 5, 2, 18, 8, 3, 9, 14, 7, 10, 20, 13, 19, 16, 12, 4, 11, 15, 1}",3.740891,"{1, 6, 5, 2, 17, 18, 8, 3, 9, 14, 7, 10, 20, 13, 19, 16, 12, 4, 11, 15, 1}",3.745073,0.001118,0.044607
"{1, 7, 4, 20, 18, 11, 17, 9, 12, 5, 14, 8, 13, 2, 15, 3, 10, 6, 19, 16, 1}",3.834115,"{1, 16, 19, 6, 10, 3, 15, 2, 8, 13, 14, 17, 11, 18, 20, 4, 7, 12, 9, 5, 1}",4.019735,0.048413,0.044631
"{1, 8, 9, 19, 11, 15, 5, 14, 20, 13, 7, 12, 4, 16, 2, 10, 3, 6, 18, 17, 1}",3.704071,"{1, 17, 18, 16, 4, 12, 7, 13, 20, 14, 5, 15, 11, 19, 10, 3, 2, 6, 9, 8, 1}",3.718349,0.003855,0.044478
"{1, 2, 14, 13, 6, 15, 16, 7, 8, 10, 3, 9, 18, 12, 5, 4, 19, 20, 11, 17, 1}",3.815867,"{1, 17, 11, 20, 19, 4, 5, 12, 18, 9, 3, 10, 8, 7, 16, 15, 6, 13, 14, 2, 1}",3.815867,0.000000,0.044655
"{1, 11, 18, 4, 7, 8, 6, 17, 19, 15, 10, 12, 3, 20, 5, 16, 9, 2, 14, 13, 1}",3.770113,"{1, 11, 18, 4, 7, 8, 6, 17, 19, 15, 10, 12, 3, 20, 5, 16, 9, 2, 14, 13, 1}",3.770113,0.000000,0.044850
"{1, 5, 2, 16, 18, 10, 9, 7, 3, 17, 8, 11, 14, 4, 20, 12, 13, 15, 6, 19, 1}",4.340295,"{1, 5, 19, 6, 15, 13, 12, 20, 4, 14, 11, 8, 17, 3, 7, 9, 10, 18, 16, 2, 1}",4.381622,0.009522,0.046944
"{1, 9, 3, 20, 11, 2, 12, 7, 19, 17, 8, 18, 10, 16, 14, 5, 4, 6, 13, 15, 1}",3.564056,"{1, 15, 13, 6, 4, 5, 14, 16, 10, 18, 8, 17, 19, 7, 12, 2, 11, 9, 3, 20, 1}",3.609649,0.012792,0.047520
"{1, 10, 13, 11, 5, 20, 9, 14, 7, 4, 2, 18, 17, 16, 3, 8, 15, 19, 12, 6, 1}",3.609257,"{1, 6, 12, 19, 15, 8, 3, 16, 17, 18, 2, 4, 7, 14, 9, 20, 5, 11, 13, 10, 1}",3.609257,0.000000,0.048003
"{1, 16, 17, 20, 19, 5, 7, 3, 18, 15, 4, 2, 9, 8, 10, 13, 14, 11, 6, 12, 1}",3.707775,"{1, 12, 6, 11, 14, 13, 10, 8, 9, 2, 4, 15, 18, 3, 7, 5, 19, 20, 17, 16, 1}",3.707775,0.000000,0.047720
"{1, 11, 4, 9, 19, 20, 10, 18, 13, 6, 16, 7, 15, 2, 17, 8, 14, 12, 3, 5, 1}",3.802400,"{1, 5, 3, 12, 14, 8, 17, 2, 15, 7, 16, 6, 13, 10, 18, 20, 19, 9, 4, 11, 1}",3.832977,0.008041,0.047810
"{1, 2, 20, 9, 8, 3, 12, 4, 15, 5, 7, 19, 17, 10, 6, 13, 16, 14, 18, 11, 1}",4.158748,"{1, 5, 15, 2, 20, 9, 8, 3, 12, 4, 10, 17, 6, 13, 16, 14, 19, 7, 11, 18, 1}",4.344538,0.044674,0.048104
"{1, 19, 18, 20, 15, 7, 4, 10, 2, 3, 17, 8, 12, 6, 9, 14, 13, 5, 11, 16, 1}",4.216218,"{1, 16, 19, 18, 15, 7, 4, 10, 2, 3, 17, 8, 12, 6, 9, 14, 13, 20, 5, 11, 1}",4.235884,0.004664,0.047627
"{1, 20, 5, 13, 18, 19, 17, 15, 3, 6, 9, 8, 2, 14, 10, 7, 11, 16, 12, 4, 1}",3.950060,"{1, 4, 20, 5, 13, 18, 19, 17, 15, 3, 6, 9, 10, 7, 11, 16, 12, 14, 2, 8, 1}",4.419646,0.118881,0.047649
"{1, 9, 17, 11, 2, 16, 15, 8, 19, 18, 6, 14, 13, 5, 20, 10, 7, 12, 4, 3, 1}",3.789079,"{1, 9, 17, 11, 15, 16, 2, 8, 19, 18, 6, 14, 13, 5, 20, 10, 7, 12, 4, 3, 1}",3.788857,-0.000059,0.047352
"{1, 20, 17, 15, 12, 7, 19, 3, 11, 8, 9, 10, 5, 6, 13, 18, 4, 2, 14, 16, 1}",3.941525,"{1, 14, 2, 4, 18, 5, 6, 13, 10, 9, 8, 11, 3, 15, 19, 7, 12, 17, 20, 16, 1}",4.053540,0.028419,0.047902
"{1, 14, 13, 5, 16, 2, 20, 12, 7, 19, 18, 9, 4, 17, 10, 8, 6, 3, 11, 15, 1}",3.684505,"{1, 14, 13, 15, 11, 3, 5, 16, 2, 20, 12, 7, 19, 18, 9, 10, 8, 6, 17, 4, 1}",4.048139,0.098693,0.047693
"{1, 16, 6, 10, 8, 4, 3, 15, 17, 18, 7, 9, 11, 5, 19, 2, 13, 12, 14, 20, 1}",3.990586,"{1, 20, 2, 13, 12, 14, 6, 16, 19, 5, 11, 9, 7, 18, 17, 15, 3, 4, 8, 10, 1}",4.263240,0.068324,0.047355
"{1, 13, 4, 3, 10, 18, 6, 16, 5, 14, 19, 8, 7, 9, 17, 11, 20, 2, 15, 12, 1}",3.922833,"{1, 13, 4, 18, 10, 3, 15, 12, 2, 20, 11, 17, 9, 7, 8, 5, 6, 16, 14, 19, 1}",3.993544,0.018025,0.047584
"{1, 10, 19, 18, 15, 16, 9, 12, 4, 17, 2, 3, 7, 13, 14, 5, 11, 8, 6, 20, 1}",3.865312,"{1, 20, 6, 8, 11, 5, 14, 13, 7, 3, 2, 17, 4, 12, 9, 16, 15, 18, 19, 10, 1}",3.865312,0.000000,0.048039
"{1, 14, 6, 15, 12, 19, 3, 9, 18, 7, 20, 10, 13, 17, 5, 2, 11, 4, 16, 8, 1}",3.620705,"{1, 14, 6, 15, 12, 19, 3, 9, 18, 7, 20, 10, 13, 17, 8, 16, 4, 11, 5, 2, 1}",3.865472,0.067602,0.047858
"{1, 20, 6, 13, 5, 19, 16, 8, 12, 15, 9, 3, 7, 10, 18, 11, 17, 2, 14, 4, 1}",3.167146,"{1, 4, 14, 2, 17, 11, 18, 10, 7, 3, 9, 15, 12, 8, 16, 19, 5, 13, 6, 20, 1}",3.167146,0.000000,0.047622
"{1, 11, 20, 12, 6, 13, 18, 7, 17, 8, 2, 19, 16, 9, 14, 10, 5, 15, 4, 3, 1}",3.925379,"{1, 11, 20, 12, 6, 13, 15, 5, 10, 14, 9, 16, 19, 2, 8, 17, 7, 18, 4, 3, 1}",4.173481,0.063205,0.047748
"{1, 11, 9, 10, 8, 7, 20, 15, 6, 3, 5, 14, 12, 19, 17, 18, 4, 13, 16, 2, 1}",3.902525,"{1, 2, 16, 13, 4, 18, 17, 19, 12, 14, 5, 3, 6, 15, 20, 7, 8, 10, 9, 11, 1}",3.902525,0.000000,0.044788
"{1, 20, 7, 10, 6, 13, 8, 14, 3, 18, 12, 11, 16, 2, 4, 5, 19, 9, 17, 15, 1}",3.678068,"{1, 15, 19, 5, 4, 9, 17, 2, 16, 11, 12, 18, 3, 14, 8, 13, 6, 10, 20, 7, 1}",3.810557,0.036021,0.044878
"{1, 4, 17, 3, 9, 6, 14, 20, 2, 11, 12, 19, 5, 15, 13, 18, 16, 10, 7, 8, 1}",4.250949,"{1, 4, 17, 3, 9, 6, 14, 20, 2, 11, 12, 19, 15, 18, 16, 13, 5, 10, 7, 8, 1}",4.318804,0.015962,0.044877
"{1, 12, 8, 19, 13, 5, 11, 18, 7, 14, 16, 15, 10, 4, 3, 2, 6, 17, 20, 9, 1}",3.369896,"{1, 12, 13, 8, 19, 5, 11, 18, 7, 3, 4, 14, 16, 15, 10, 2, 6, 17, 20, 9, 1}",3.437167,0.019962,0.047135
"{1, 20, 15, 2, 7, 18, 17, 3, 16, 6, 10, 13, 9, 11, 8, 14, 19, 4, 5, 12, 1}",4.186433,"{1, 20, 15, 2, 7, 18, 17, 3, 16, 6, 10, 13, 9, 11, 8, 19, 4, 5, 12, 14, 1}",4.372724,0.044499,0.046921
"{1, 15, 20, 10, 8, 14, 4, 9, 5, 19, 11, 3, 2, 16, 12, 7, 18, 17, 6, 13, 1}",4.018352,"{1, 13, 6, 18, 16, 11, 19, 5, 9, 3, 2, 4, 14, 8, 10, 12, 7, 20, 15, 17, 1}",4.326481,0.076680,0.046692
"{1, 18, 16, 19, 4, 5, 7, 11, 2, 6, 20, 14, 3, 15, 17, 13, 9, 10, 12, 8, 1}",3.769130,"{1, 18, 19, 4, 5, 7, 11, 2, 6, 20, 14, 3, 15, 17, 13, 9, 10, 12, 8, 16, 1}",3.822623,0.014193,0.047035
"{1, 5, 6, 10, 14, 20, 15, 8, 12, 16, 19, 7, 17, 2, 13, 18, 4, 11, 3, 9, 1}",3.660073,"{1, 5, 6, 10, 14, 20, 15, 8, 12, 16, 19, 7, 17, 2, 13, 18, 4, 11, 3, 9, 1}",3.660073,0.000000,0.046991
"{1, 7, 8, 14, 18, 9, 11, 10, 3, 12, 19, 20, 4, 15, 5, 17, 13, 2, 6, 16, 1}",3.846364,"{1, 7, 14, 18, 9, 11, 10, 3, 12, 19, 20, 4, 15, 5, 17, 13, 2, 6, 16, 8, 1}",3.927621,0.021126,0.046719
"{1, 20, 2, 4, 18, 9, 3, 7, 6, 12, 19, 13, 14, 11, 10, 15, 5, 17, 16, 8, 1}",3.715124,"{1, 8, 16, 17, 5, 15, 10, 11, 14, 19, 12, 13, 6, 7, 3, 9, 18, 4, 20, 2, 1}",3.835234,0.032330,0.047195
"{1, 9, 8, 6, 14, 2, 15, 11, 4, 17, 16, 5, 19, 12, 3, 18, 10, 20, 13, 7, 1}",3.530511,"{1, 7, 13, 20, 10, 19, 18, 12, 3, 5, 17, 16, 4, 11, 15, 6, 8, 9, 14, 2, 1}",3.575676,0.012793,0.047891
"{1, 19, 4, 8, 14, 10, 5, 3, 17, 12, 15, 18, 20, 11, 13, 2, 16, 6, 9, 7, 1}",3.695178,"{1, 7, 9, 6, 16, 2, 13, 11, 20, 18, 15, 12, 17, 3, 5, 10, 14, 8, 19, 4, 1}",3.719699,0.006636,0.047886
"{1, 6, 18, 2, 13, 17, 16, 19, 11, 8, 5, 3, 15, 20, 10, 12, 14, 9, 7, 4, 1}",4.222485,"{1, 4, 7, 9, 15, 3, 5, 8, 11, 19, 16, 17, 13, 2, 18, 6, 12, 14, 10, 20, 1}",4.770472,0.129778,0.047946
"{1, 5, 10, 9, 19, 6, 16, 14, 2, 8, 3, 15, 4, 12, 13, 20, 17, 18, 7, 11, 1}",4.071715,"{1, 11, 14, 2, 8, 3, 15, 4, 12, 13, 20, 17, 18, 7, 5, 10, 9, 19, 6, 16, 1}",4.197567,0.030909,0.047529
"{1, 11, 6, 18, 7, 4, 19, 3, 16, 2, 13, 15, 9, 10, 8, 14, 17, 12, 5, 20, 1}",3.424819,"{1, 11, 6, 18, 20, 5, 12, 17, 14, 8, 10, 9, 15, 13, 2, 16, 3, 19, 7, 4, 1}",3.661498,0.069107,0.047611
"{1, 16, 14, 9, 19, 10, 13, 2, 17, 18, 8, 3, 4, 7, 20, 5, 11, 12, 6, 15, 1}",3.758692,"{1, 15, 6, 12, 11, 5, 20, 7, 4, 3, 8, 18, 17, 13, 2, 10, 19, 9, 14, 16, 1}",3.764062,0.001429,0.046992
